Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Mx Load2
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,Nm
3.0200,-171.5654
3.0240,-171.9932
3.0280,-170.4958
3.0320,-168.7844
3.0360,-170.4958
3.0400,-173.9185
3.0440,-171.1375
3.0480,-165.1477
3.0520,-172.4211
3.0560,-171.7793
3.0600,-170.7097
3.0640,-166.8591
3.0680,-168.9983
3.0720,-172.4211
3.0760,-170.7097
3.0800,-166.8591
3.0840,-167.5009
3.0880,-172.6350
3.0920,-170.9236
3.0960,-166.6452
3.1000,-164.9338
3.1040,-171.3514
3.1080,-170.2818
3.1120,-167.2869
3.1160,-164.7199
3.1200,-168.5705
3.1240,-170.2818
3.1280,-167.9287
3.1320,-163.0085
3.1360,-169.2122
3.1400,-171.5654
3.1440,-168.5705
3.1480,-166.6452
3.1520,-169.8540
3.1560,-171.5654
3.1600,-168.7844
3.1640,-163.0085
3.1680,-167.9287
3.1720,-170.2818
3.1760,-168.7844
3.1800,-166.2173
3.1840,-164.2920
3.1880,-169.8540
3.1920,-166.6452
3.1960,-166.6452
3.2000,-165.5756
3.2040,-167.0730
3.2080,-168.3565
3.2120,-166.8591
3.2160,-165.1477
3.2200,-169.6401
3.2240,-167.9287
3.2280,-166.4312
3.2320,-163.0085
3.2360,-167.0730
3.2400,-168.5705
3.2440,-165.3616
3.2480,-162.1528
3.2520,-167.7148
3.2560,-166.6452
3.2600,-167.5009
3.2640,-164.2920
3.2680,-165.5756
3.2720,-168.7844
3.2760,-168.9983
3.2800,-162.1528
3.2840,-163.8642
3.2880,-167.0730
3.2920,-167.0730
3.2960,-164.2920
3.3000,-164.5060
3.3040,-166.0034
3.3080,-167.7148
3.3120,-165.1477
3.3160,-160.2275
3.3200,-164.0781
3.3240,-167.5009
3.3280,-163.6503
3.3320,-162.3667
3.3360,-165.3616
3.3400,-166.0034
3.3440,-163.2224
3.3480,-160.8693
3.3520,-165.1477
3.3560,-164.7199
3.3600,-165.5756
3.3640,-163.2224
3.3680,-161.9389
3.3720,-167.9287
3.3760,-164.5060
3.3800,-162.7946
3.3840,-162.5806
3.3880,-166.0034
3.3920,-166.6452
3.3960,-159.7997
3.4000,-159.7997
3.4040,-163.8642
3.4080,-164.5060
3.4120,-162.5806
3.4160,-159.5858
3.4200,-165.1477
3.4240,-164.9338
3.4280,-164.2920
3.4320,-160.8693
3.4360,-162.5806
3.4400,-164.7199
3.4440,-160.4414
3.4480,-160.4414
3.4520,-161.9389
3.4560,-166.2173
3.4600,-162.5806
3.4640,-160.0136
3.4680,-160.8693
3.4720,-164.2920
3.4760,-163.2224
3.4800,-156.3769
3.4840,-161.5110
3.4880,-161.0832
3.4920,-163.6503
3.4960,-159.5858
3.5000,-158.5161
3.5040,-161.7250
3.5080,-163.4363
3.5120,-160.0136
3.5160,-159.1579
3.5200,-161.9389
3.5240,-163.2224
3.5280,-160.6553
3.5320,-157.8744
3.5360,-163.0085
3.5400,-163.8642
3.5440,-159.3718
3.5480,-156.1630
3.5520,-159.1579
3.5560,-161.9389
3.5600,-162.7946
3.5640,-159.7997
3.5680,-159.7997
3.5720,-161.0832
3.5760,-159.5858
3.5800,-161.2971
3.5840,-157.2326
3.5880,-161.2971
3.5920,-160.8693
3.5960,-156.5908
3.6000,-160.0136
3.6040,-157.4465
3.6080,-161.5110
3.6120,-159.3718
3.6160,-157.2326
3.6200,-158.7301
3.6240,-161.0832
3.6280,-159.5858
3.6320,-155.9491
3.6360,-159.3718
3.6400,-161.7250
3.6440,-157.4465
3.6480,-155.9491
3.6520,-158.5161
3.6560,-161.7250
3.6600,-159.7997
3.6640,-155.3073
3.6680,-158.7301
3.6720,-161.2971
3.6760,-158.7301
3.6800,-157.0187
3.6840,-156.5908
3.6880,-159.7997
3.6920,-160.6553
3.6960,-154.6655
3.7000,-154.4516
3.7040,-158.7301
3.7080,-159.5858
3.7120,-157.0187
3.7160,-153.3820
3.7200,-156.5908
3.7240,-158.3022
3.7280,-156.8047
3.7320,-154.8795
3.7360,-154.4516
3.7400,-159.3718
3.7440,-156.3769
3.7480,-153.1681
3.7520,-158.0883
3.7560,-155.9491
3.7600,-156.8047
3.7640,-153.8099
3.7680,-157.0187
3.7720,-159.3718
3.7760,-157.6604
3.7800,-155.0934
3.7840,-153.3820
3.7880,-158.5161
3.7920,-159.1579
3.7960,-154.6655
3.8000,-153.1681
3.8040,-157.6604
3.8080,-157.0187
3.8120,-154.2377
3.8160,-151.4567
3.8200,-152.9542
3.8240,-155.3073
3.8280,-154.0238
3.8320,-150.3871
3.8360,-155.3073
3.8400,-157.0187
3.8440,-154.4516
3.8480,-151.2428
3.8520,-157.8744
3.8560,-154.8795
3.8600,-151.4567
3.8640,-153.1681
3.8680,-154.6655
3.8720,-155.5212
3.8760,-154.4516
3.8800,-151.2428
3.8840,-152.9542
3.8880,-153.3820
3.8920,-155.3073
3.8960,-151.6706
3.9000,-150.8149
3.9040,-154.4516
3.9080,-157.2326
3.9120,-155.7352
3.9160,-151.2428
3.9200,-152.7402
3.9240,-154.4516
3.9280,-152.3124
3.9320,-150.6010
3.9360,-152.0985
3.9400,-155.7352
3.9440,-154.4516
3.9480,-148.6757
3.9520,-154.8795
3.9560,-154.4516
3.9600,-153.5959
3.9640,-152.3124
3.9680,-152.0985
3.9720,-155.0934
3.9760,-154.0238
3.9800,-151.6706
3.9840,-149.7453
3.9880,-156.5908
3.9920,-155.3073
3.9960,-152.7402
4.0000,-152.0985
4.0040,-155.9491
4.0080,-155.9491
4.0120,-153.5959
4.0160,-153.1681
4.0200,-154.0238
4.0240,-156.5908
4.0280,-154.0238
4.0320,-151.4567
4.0360,-155.7352
4.0400,-155.9491
4.0440,-154.8795
4.0480,-151.8846
4.0520,-155.0934
4.0560,-157.0187
4.0600,-157.4465
4.0640,-151.4567
4.0680,-153.1681
4.0720,-157.2326
4.0760,-155.5212
4.0800,-153.1681
4.0840,-153.3820
4.0880,-156.8047
4.0920,-159.1579
4.0960,-154.6655
4.1000,-154.6655
4.1040,-158.3022
4.1080,-158.3022
4.1120,-157.0187
4.1160,-152.0985
4.1200,-158.9440
4.1240,-158.7301
4.1280,-156.5908
4.1320,-155.9491
4.1360,-156.3769
4.1400,-157.8744
4.1440,-156.1630
4.1480,-153.5959
4.1520,-156.1630
4.1560,-158.5161
4.1600,-158.0883
4.1640,-156.1630
4.1680,-157.2326
4.1720,-160.6553
4.1760,-158.3022
4.1800,-154.4516
4.1840,-157.6604
4.1880,-158.3022
4.1920,-159.7997
4.1960,-156.3769
4.2000,-155.7352
4.2040,-156.8047
4.2080,-160.8693
4.2120,-157.0187
4.2160,-155.3073
4.2200,-158.9440
4.2240,-161.5110
4.2280,-160.4414
4.2320,-157.8744
4.2360,-158.9440
4.2400,-162.3667
4.2440,-160.0136
4.2480,-157.4465
4.2520,-160.8693
4.2560,-162.5806
4.2600,-160.4414
4.2640,-159.5858
4.2680,-160.0136
4.2720,-165.1477
4.2760,-162.5806
4.2800,-157.8744
4.2840,-162.1528
4.2880,-163.2224
4.2920,-162.5806
4.2960,-162.7946
4.3000,-159.5858
4.3040,-160.6553
4.3080,-164.5060
4.3120,-160.8693
4.3160,-161.0832
4.3200,-164.5060
4.3240,-166.4312
4.3280,-164.0781
4.3320,-161.7250
4.3360,-164.2920
4.3400,-166.8591
4.3440,-164.5060
4.3480,-158.9440
4.3520,-164.0781
4.3560,-165.7895
4.3600,-166.4312
4.3640,-161.9389
4.3680,-163.8642
4.3720,-167.5009
4.3760,-165.3616
4.3800,-163.6503
4.3840,-162.7946
4.3880,-167.0730
4.3920,-166.4312
4.3960,-162.3667
4.4000,-162.3667
4.4040,-166.0034
4.4080,-167.7148
4.4120,-166.4312
4.4160,-163.4363
4.4200,-167.9287
4.4240,-169.6401
4.4280,-165.3616
4.4320,-167.5009
4.4360,-167.7148
4.4400,-167.9287
4.4440,-165.7895
4.4480,-164.5060
4.4520,-165.1477
4.4560,-171.3514
4.4600,-167.0730
4.4640,-165.7895
4.4680,-168.1426
4.4720,-172.2071
4.4760,-169.6401
4.4800,-165.5756
4.4840,-166.6452
4.4880,-169.4262
4.4920,-170.2818
4.4960,-165.7895
4.5000,-166.2173
4.5040,-171.5654
4.5080,-173.2767
4.5120,-170.0679
4.5160,-169.4262
4.5200,-174.7742
4.5240,-173.0628
4.5280,-169.8540
4.5320,-167.5009
4.5360,-169.2122
4.5400,-173.9185
4.5440,-169.6401
4.5480,-170.0679
4.5520,-171.3514
4.5560,-174.1324
4.5600,-171.9932
4.5640,-170.2818
4.5680,-171.5654
4.5720,-174.7742
4.5760,-173.2767
4.5800,-169.8540
4.5840,-169.8540
4.5880,-174.7742
4.5920,-174.3464
4.5960,-170.2818
4.6000,-170.9236
4.6040,-172.6350
4.6080,-174.5603
4.6120,-171.9932
4.6160,-170.7097
4.6200,-171.9932
4.6240,-174.7742
4.6280,-172.4211
4.6320,-170.2818
4.6360,-174.3464
4.6400,-177.7691
4.6440,-171.7793
4.6480,-171.1375
4.6520,-173.0628
4.6560,-178.4109
4.6600,-173.2767
4.6640,-173.4907
4.6680,-174.5603
4.6720,-177.1273
4.6760,-176.6995
4.6800,-176.2717
4.6840,-173.9185
4.6880,-177.7691
4.6920,-177.9830
4.6960,-175.4160
4.7000,-171.9932
4.7040,-176.9134
4.7080,-180.1223
4.7120,-177.1273
4.7160,-173.7046
4.7200,-174.9881
4.7240,-178.8387
4.7280,-175.4160
4.7320,-173.9185
4.7360,-178.4109
4.7400,-180.9779
4.7440,-174.9881
4.7480,-173.0628
4.7520,-177.3412
4.7560,-178.1970
4.7600,-177.7691
4.7640,-177.1273
4.7680,-177.1273
4.7720,-181.1918
4.7760,-178.8387
4.7800,-174.5603
4.7840,-174.9881
4.7880,-179.0526
4.7920,-179.4805
4.7960,-179.0526
4.8000,-178.1970
4.8040,-177.9830
4.8080,-180.5501
4.8120,-178.4109
4.8160,-174.9881
4.8200,-178.4109
4.8240,-182.0475
4.8280,-179.6944
4.8320,-177.1273
4.8360,-179.2666
4.8400,-182.4754
4.8440,-178.4109
4.8480,-176.9134
4.8520,-181.8336
4.8560,-184.4007
4.8600,-182.6893
4.8640,-179.2666
4.8680,-179.4805
4.8720,-184.6146
4.8760,-182.9032
4.8800,-180.1223
4.8840,-178.8387
4.8880,-182.6893
4.8920,-182.6893
4.8960,-179.6944
4.9000,-180.1223
4.9040,-183.5450
4.9080,-184.1868
4.9120,-183.5450
4.9160,-180.5501
4.9200,-182.9032
4.9240,-184.8285
4.9280,-181.8336
4.9320,-178.4109
4.9360,-185.2564
4.9400,-186.7538
4.9440,-182.4754
4.9480,-179.9083
4.9520,-183.5450
4.9560,-185.6842
4.9600,-184.1868
4.9640,-179.9083
4.9680,-183.7589
4.9720,-186.1120
4.9760,-184.6146
4.9800,-182.9032
4.9840,-184.6146
4.9880,-185.0424
4.9920,-185.2564
