Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Post Test Comment:,
Data Description:,Fx Load1
Optional Title:,
Calculation:,Raw
Filter:,none

SEC,N
2.5400,1324.2672
2.5440,1332.5336
2.5480,1324.2672
2.5520,1329.2269
2.5560,1332.5336
2.5600,1342.4531
2.5640,1332.5336
2.5680,1325.9204
2.5720,1337.4933
2.5760,1347.4130
2.5800,1339.1466
2.5840,1334.1869
2.5880,1345.7598
2.5920,1354.0260
2.5960,1349.0662
2.6000,1340.7998
2.6040,1347.4130
2.6080,1360.6390
2.6120,1360.6390
2.6160,1350.7195
2.6200,1355.6793
2.6240,1365.5989
2.6280,1367.2522
2.6320,1362.2924
2.6360,1360.6390
2.6400,1367.2522
2.6440,1373.8651
2.6480,1370.5587
2.6520,1367.2522
2.6560,1375.5184
2.6600,1383.7848
2.6640,1377.1718
2.6680,1377.1718
2.6720,1385.4380
2.6760,1390.3979
2.6800,1388.7446
2.6840,1385.4380
2.6880,1393.7045
2.6920,1406.9307
2.6960,1395.3577
2.7000,1392.0511
2.7040,1401.9708
2.7080,1408.5837
2.7120,1405.2773
2.7160,1398.6642
2.7200,1403.6240
2.7240,1411.8904
2.7280,1415.1969
2.7320,1410.2371
2.7360,1408.5837
2.7400,1418.5035
2.7440,1418.5035
2.7480,1416.8502
2.7520,1416.8502
2.7560,1423.4633
2.7600,1425.1165
2.7640,1423.4633
2.7680,1425.1165
2.7720,1426.7698
2.7760,1436.6893
2.7800,1426.7698
2.7840,1423.4633
2.7880,1431.7295
2.7920,1436.6893
2.7960,1436.6893
2.8000,1428.4231
2.8040,1435.0361
2.8080,1444.9557
2.8120,1443.3024
2.8160,1438.3427
2.8200,1441.6493
2.8240,1453.2220
2.8280,1449.9155
2.8320,1448.2622
2.8360,1451.5688
2.8400,1451.5688
2.8440,1458.1819
2.8480,1458.1819
2.8520,1453.2220
2.8560,1461.4884
2.8600,1468.1014
2.8640,1463.1417
2.8680,1458.1819
2.8720,1471.4080
2.8760,1474.7146
2.8800,1478.0210
2.8840,1469.7546
2.8880,1478.0210
2.8920,1487.9407
2.8960,1484.6342
2.9000,1474.7146
2.9040,1482.9808
2.9080,1492.9004
2.9120,1491.2472
2.9160,1484.6342
2.9200,1486.2875
2.9240,1491.2472
2.9280,1497.8604
2.9320,1496.2070
2.9360,1489.5939
2.9400,1502.8201
2.9440,1509.4331
2.9480,1501.1669
2.9520,1497.8604
2.9560,1507.7799
2.9600,1516.0461
2.9640,1509.4331
2.9680,1506.1266
2.9720,1512.7397
2.9760,1525.9658
2.9800,1522.6593
2.9840,1511.0864
2.9880,1521.0060
2.9920,1532.5789
2.9960,1524.3126
3.0000,1522.6593
3.0040,1525.9658
3.0080,1534.2322
3.0120,1537.5386
3.0160,1529.2723
3.0200,1530.9257
3.0240,1539.1919
3.0280,1539.1919
3.0320,1535.8855
3.0360,1535.8855
3.0400,1544.1517
3.0440,1544.1517
3.0480,1544.1517
3.0520,1540.8452
3.0560,1544.1517
3.0600,1550.7648
3.0640,1549.1115
3.0680,1545.8051
3.0720,1554.0714
3.0760,1559.0313
3.0800,1555.7246
3.0840,1554.0714
3.0880,1562.3376
3.0920,1562.3376
3.0960,1562.3376
3.1000,1560.6843
3.1040,1565.6443
3.1080,1575.5638
3.1120,1570.6041
3.1160,1567.2975
3.1200,1573.9105
3.1240,1582.1770
3.1280,1583.8301
3.1320,1577.2170
3.1360,1575.5638
3.1400,1583.8301
3.1440,1587.1367
3.1480,1580.5237
3.1520,1583.8301
3.1560,1592.0966
3.1600,1595.4031
3.1640,1588.7899
3.1680,1587.1367
3.1720,1597.0563
3.1760,1602.0161
3.1800,1597.0563
3.1840,1595.4031
3.1880,1600.3628
3.1920,1610.2825
3.1960,1608.6292
3.2000,1602.0161
3.2040,1605.3228
3.2080,1616.8955
3.2120,1613.5890
3.2160,1606.9760
3.2200,1610.2825
3.2240,1620.2020
3.2280,1623.5085
3.2320,1615.2423
3.2360,1616.8955
3.2400,1626.8152
3.2440,1631.7749
3.2480,1625.1619
3.2520,1625.1619
3.2560,1635.0814
3.2600,1641.6946
3.2640,1633.4281
3.2680,1631.7749
3.2720,1645.0010
3.2760,1646.6543
3.2800,1641.6946
3.2840,1640.0413
3.2880,1646.6543
3.2920,1651.6141
3.2960,1651.6141
3.3000,1645.0010
3.3040,1649.9609
3.3080,1654.9207
3.3120,1656.5739
3.3160,1651.6141
3.3200,1653.2675
3.3240,1664.8403
3.3280,1661.5338
3.3320,1656.5739
3.3360,1654.9207
3.3400,1661.5338
3.3440,1668.1467
3.3480,1663.1870
3.3520,1661.5338
3.3560,1673.1066
3.3600,1678.0664
3.3640,1671.4534
3.3680,1666.4935
3.3720,1673.1066
3.3760,1681.3729
3.3800,1679.7196
3.3840,1671.4534
3.3880,1679.7196
3.3920,1689.6394
3.3960,1684.6794
3.4000,1683.0262
3.4040,1683.0262
3.4080,1694.5991
3.4120,1696.2523
3.4160,1684.6794
3.4200,1694.5991
3.4240,1706.1720
3.4280,1699.5590
3.4320,1694.5991
3.4360,1699.5590
3.4400,1707.8252
3.4440,1712.7850
3.4480,1704.5187
3.4520,1707.8252
3.4560,1716.0916
3.4600,1717.7449
3.4640,1716.0916
3.4680,1707.8252
3.4720,1716.0916
3.4760,1727.6644
3.4800,1719.3981
3.4840,1716.0916
3.4880,1722.7047
3.4920,1734.2776
3.4960,1730.9709
3.5000,1722.7047
3.5040,1729.3176
3.5080,1740.8905
3.5120,1740.8905
3.5160,1735.9308
3.5200,1735.9308
3.5240,1742.5438
3.5280,1747.5037
3.5320,1744.1971
3.5360,1742.5438
3.5400,1749.1569
3.5440,1752.4634
3.5480,1749.1569
3.5520,1747.5037
3.5560,1757.4233
3.5600,1759.0765
3.5640,1755.7700
3.5680,1754.1167
3.5720,1762.3831
3.5760,1764.0363
3.5800,1764.0363
3.5840,1760.7297
3.5880,1764.0363
3.5920,1767.3429
3.5960,1767.3429
3.6000,1765.6896
3.6040,1767.3429
3.6080,1777.2625
3.6120,1772.3026
3.6160,1768.9961
3.6200,1772.3026
3.6240,1778.9158
3.6280,1782.2223
3.6320,1775.6091
3.6360,1778.9158
3.6400,1788.8353
3.6440,1793.7952
3.6480,1787.1820
3.6520,1782.2223
