Test Number:,315dmKlong427_38
Test Date:,4/25/2017
Calculation:,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw,Raw
Filter:,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Data Description:,Az Def.1,Az Def.2,Fx Load1,Fx Load2,Fy Load1,Fy Load2,Fz Load1,Fz Load2,Mx Load1,Mx Load2,My Load1,My Load2,Mz Load1,Mz Load2,Px Def.1,Px Def.2,Pz Def.1,Pz Def.2,Tire Inf.1,Tire Inf.2
SEC,deg,deg,N,N,N,N,N,N,Nm,Nm,Nm,Nm,Nm,Nm,mm,mm,mm,mm,kpa,kpa
0.1920,-0.0004,-0.0004,34.7186,322.3871,213.5680,206.9457,1943.8934,1909.9094,-239.5925,-229.9660,7.0925,110.8200,-4.5580,-41.6732,0.0279,0.0093,5.9272,6.0980,261.8867,262.8349
0.1960,-0.0004,-0.0004,29.7588,342.2263,220.1903,185.4234,1930.2998,1913.3077,-243.0153,-228.4686,7.9790,111.7066,-7.1626,-39.0686,0.0279,0.0000,5.9028,6.0980,261.2019,262.3608
0.2000,-0.0004,-0.0004,23.1457,335.6133,236.7459,180.4567,1920.1046,1920.1046,-246.8659,-227.6129,7.9790,110.8200,-11.0694,-38.4174,0.0186,0.0093,5.9272,6.0980,262.5715,260.9912
0.2040,-0.0004,-0.0004,36.3719,340.5731,235.0903,183.7678,1926.9014,1906.5110,-245.1545,-229.9660,8.8656,111.7066,-7.1626,-42.3243,0.0279,0.0186,5.9028,6.0980,263.0457,261.6760
0.2080,-0.0004,-0.0004,46.2915,343.8796,206.9457,205.2902,1937.0967,1903.1124,-241.7318,-231.4635,10.6387,112.5932,-3.2557,-41.6732,0.0279,0.0186,5.9272,6.0980,262.1501,262.9403
0.2120,-0.0004,-0.0004,39.6784,329.0002,225.1570,180.4567,1926.9014,1920.1046,-245.7963,-226.5433,10.6387,113.4797,-7.1626,-41.0220,0.0279,0.0186,5.9028,6.0980,261.3073,262.3608
0.2160,-0.0004,-0.0004,38.0252,347.1862,243.3682,183.7678,1920.1046,1920.1046,-246.4380,-226.9711,10.6387,113.4797,-9.1160,-41.0220,0.0372,0.0279,5.9272,6.0980,262.4135,261.2019
0.2200,-0.0004,-0.0004,42.9850,345.5329,228.4681,203.6346,1926.9014,1906.5110,-244.5128,-229.5382,13.2984,113.4797,-6.5114,-42.3243,0.0372,0.0372,5.9272,6.0980,263.2037,261.4653
0.2240,-0.0004,-0.0004,47.9448,335.6133,198.6679,205.2902,1940.4951,1909.9094,-240.0204,-230.3939,13.2984,113.4797,-5.8603,-43.6266,0.0465,0.0372,5.9272,6.0980,262.3081,262.7822
0.2280,0.0057,-0.0004,52.9046,350.4927,215.2236,183.7678,1926.9014,1930.2998,-244.0849,-223.7623,13.2984,115.2529,-7.8137,-41.6732,0.0465,0.0372,5.9272,6.0980,261.2546,262.6242
0.2320,0.0057,-0.0004,42.9850,347.1862,230.1237,172.1789,1920.1046,1926.9014,-245.3684,-226.1154,13.2984,115.2529,-12.3717,-43.6266,0.0372,0.0558,5.9272,6.0980,262.3608,261.4126
0.2360,-0.0004,-0.0004,52.9046,347.1862,238.4015,201.9790,1926.9014,1913.3077,-243.4431,-227.3990,15.0715,117.0260,-11.0694,-43.6266,0.0558,0.0465,5.9272,6.0980,263.1510,261.2546
0.2400,-0.0004,-0.0004,59.5176,353.7992,205.2902,203.6346,1937.0967,1896.3157,-242.1596,-231.0357,17.7312,115.2529,-8.4649,-46.2312,0.0465,0.0558,5.9272,6.0980,262.4135,262.4662
0.2440,-0.0004,-0.0004,59.5176,342.2263,213.5680,185.4234,1933.6982,1923.5031,-240.0204,-226.1154,18.6178,117.0260,-10.4183,-44.2777,0.0465,0.0558,5.9516,6.1224,261.3073,262.7296
0.2480,-0.0004,-0.0004,59.5176,358.7590,233.4348,175.4900,1926.9014,1937.0967,-242.5874,-223.7623,17.7312,118.7991,-10.4183,-41.6732,0.0558,0.0651,5.9272,6.1224,261.7814,261.3073
0.2520,-0.0004,-0.0004,62.8242,365.3721,231.7792,195.3568,1920.1046,1909.9094,-245.5824,-227.1851,19.5043,118.7991,-10.4183,-44.9289,0.0558,0.0651,5.9272,6.0980,263.2037,261.0439
0.2560,-0.0004,-0.0004,67.7840,338.9198,221.8458,208.6013,1933.6982,1903.1124,-241.7318,-227.8268,21.2774,117.9125,-9.7671,-48.1846,0.0558,0.0651,5.9272,6.0980,262.7296,262.1501
0.2600,-0.0004,-0.0004,71.0905,352.1459,215.2236,188.7345,1933.6982,1913.3077,-240.2343,-226.9711,23.0506,120.5722,-11.7206,-44.2777,0.0651,0.0743,5.9272,6.1224,261.4126,262.8876
0.2640,-0.0004,-0.0004,71.0905,385.2113,228.4681,178.8011,1923.5031,1930.2998,-241.9457,-224.8319,22.1640,121.4588,-11.7206,-39.7197,0.0743,0.0651,5.9272,6.0980,261.7287,261.7287
0.2680,-0.0004,0.0057,67.7840,367.0254,233.4348,195.3568,1920.1046,1920.1046,-244.2988,-227.6129,23.9371,120.5722,-14.9763,-42.3243,0.0743,0.0836,5.9272,6.0980,262.8349,261.0439
0.2720,-0.0004,-0.0004,76.0503,353.7992,221.8458,198.6679,1930.2998,1909.9094,-240.2343,-226.7572,24.8237,120.5722,-15.6274,-47.5335,0.0743,0.0929,5.9272,6.1224,262.7296,261.9394
0.2760,-0.0004,-0.0065,82.6634,370.3319,213.5680,198.6679,1937.0967,1909.9094,-240.6622,-225.9015,26.5968,121.4588,-11.7206,-44.2777,0.0929,0.0929,5.9272,6.1224,261.4653,263.0983
0.2800,-0.0004,-0.0065,81.0101,370.3319,228.4681,188.7345,1930.2998,1923.5031,-240.4482,-225.6876,27.4834,125.0050,-13.6740,-43.6266,0.0836,0.0929,5.9272,6.0980,261.4126,262.0447
0.2840,-0.0004,-0.0004,81.0101,376.9450,230.1237,187.0789,1913.3077,1926.9014,-245.7963,-225.0459,27.4834,123.2319,-16.2786,-42.3243,0.0836,0.1022,5.9272,6.0980,262.8876,260.9385
0.2880,-0.0004,-0.0004,87.6232,386.8646,216.8791,205.2902,1926.9014,1913.3077,-241.7318,-229.1104,29.2565,123.2319,-13.0229,-42.3243,0.0929,0.1022,5.9272,6.0980,262.9930,261.7814
0.2920,-0.0004,-0.0004,95.8895,376.9450,201.9790,187.0789,1940.4951,1923.5031,-238.3090,-225.0459,29.2565,124.1185,-11.0694,-44.2777,0.0929,0.1208,5.9028,6.0980,261.8340,262.7822
0.2960,-0.0004,-0.0065,100.8493,373.6384,223.5014,180.4567,1920.1046,1926.9014,-243.2292,-223.7623,29.2565,126.7781,-10.4183,-44.2777,0.0929,0.1115,5.9028,6.1224,261.2546,262.2028
0.3000,-0.0004,-0.0004,92.5830,368.6786,231.7792,167.2122,1913.3077,1926.9014,-244.0849,-224.6180,31.0296,126.7781,-16.2786,-44.9289,0.0929,0.1115,5.9516,6.0980,262.7296,260.9385
0.3040,-0.0065,-0.0004,99.1960,371.9852,215.2236,172.1789,1926.9014,1913.3077,-239.5925,-226.9711,31.9162,127.6647,-14.9763,-45.5800,0.1115,0.1115,5.9028,6.1224,263.1510,261.6233
0.3080,-0.0004,-0.0004,110.7689,385.2113,215.2236,198.6679,1940.4951,1913.3077,-238.9508,-228.0408,33.6893,126.7781,-13.6740,-45.5800,0.1115,0.1115,5.9272,6.0980,261.9921,262.7822
0.3120,-0.0004,-0.0004,110.7689,393.4776,203.6346,183.7678,1926.9014,1937.0967,-240.8761,-222.6927,34.5759,127.6647,-14.3252,-40.3709,0.1115,0.1301,5.9272,6.0980,261.2019,262.5189
0.3160,-0.0065,-0.0004,109.1157,388.5179,246.6793,183.7678,1913.3077,1933.6982,-245.1545,-223.3345,35.4624,129.4378,-16.9297,-41.6732,0.1208,0.1301,5.9272,6.0980,262.2028,261.0966
0.3200,-0.0065,-0.0004,117.3820,373.6384,216.8791,197.0123,1923.5031,1903.1124,-241.7318,-228.0408,36.3490,128.5513,-14.9763,-46.8823,0.1208,0.1394,5.9272,6.1224,263.2037,261.3073
0.3240,-0.0004,-0.0004,125.6483,365.3721,218.5347,175.4900,1933.6982,1903.1124,-239.1647,-229.5382,37.2355,128.5513,-13.6740,-50.1380,0.1208,0.1394,5.9028,6.1224,262.3608,262.4662
0.3280,-0.0004,-0.0004,123.9951,395.1309,211.9124,183.7678,1930.2998,1916.7062,-239.8065,-227.6129,39.0087,131.2109,-16.9297,-44.9289,0.1208,0.1394,5.9028,6.1224,261.3073,262.5715
0.3320,-0.0004,-0.0004,122.3418,398.4375,231.7792,172.1789,1916.7062,1933.6982,-243.8710,-223.3345,39.8952,131.2109,-17.5809,-44.9289,0.1301,0.1394,5.9272,6.0980,262.0974,261.3073
0.3360,0.0057,-0.0004,127.3016,388.5179,215.2236,185.4234,1920.1046,1923.5031,-243.6570,-227.3990,39.8952,131.2109,-17.5809,-44.9289,0.1301,0.1394,5.9272,6.0980,263.1510,261.0966
0.3400,-0.0065,-0.0004,135.5679,385.2113,203.6346,197.0123,1933.6982,1909.9094,-237.4533,-228.2547,41.6683,130.3244,-15.6274,-45.5800,0.1301,0.1580,5.9028,6.0736,262.6769,262.4135
0.3440,-0.0004,0.0057,135.5679,386.8646,210.2569,201.9790,1930.2998,1913.3077,-239.8065,-225.6876,42.5549,132.0975,-16.9297,-45.5800,0.1301,0.1487,5.9028,6.0980,261.3599,262.6769
0.3480,0.0057,-0.0004,133.9147,398.4375,228.4681,170.5233,1923.5031,1926.9014,-240.6622,-223.1205,42.5549,132.9841,-20.1854,-43.6266,0.1394,0.1580,5.9028,6.0980,261.8340,261.4653
0.3520,-0.0004,-0.0004,138.8745,400.0907,236.7459,170.5233,1920.1046,1920.1046,-239.8065,-225.4737,44.3280,132.0975,-18.8832,-44.2777,0.1394,0.1580,5.9272,6.1224,263.0983,261.0439
0.3560,-0.0004,-0.0004,148.7941,386.8646,225.1570,197.0123,1926.9014,1909.9094,-240.6622,-228.6825,45.2146,132.9841,-16.2786,-49.4869,0.1487,0.1580,5.9272,6.1224,262.6769,262.3081
0.3600,-0.0004,-0.0065,150.4473,393.4776,208.6013,170.5233,1937.0967,1916.7062,-238.5229,-227.1851,47.8743,133.8706,-16.2786,-46.8823,0.1487,0.1580,5.9272,6.0980,261.7814,262.7822
0.3640,-0.0004,-0.0004,150.4473,401.7440,233.4348,162.2455,1923.5031,1923.5031,-240.8761,-224.4041,46.9877,135.6437,-18.2320,-44.2777,0.1487,0.1580,5.9272,6.1224,261.6760,261.8867
0.3680,0.0057,-0.0004,148.7941,398.4375,230.1237,170.5233,1920.1046,1913.3077,-241.7318,-226.9711,48.7608,134.7572,-22.1389,-47.5335,0.1487,0.1673,5.9272,6.1224,263.1510,261.0966
0.3720,-0.0004,-0.0004,162.0202,401.7440,218.5347,208.6013,1930.2998,1916.7062,-238.9508,-227.3990,51.4205,134.7572,-17.5809,-47.5335,0.1580,0.1766,5.9272,6.0980,262.9403,262.1501
0.3760,-0.0004,-0.0004,165.3268,403.3972,205.2902,177.1456,1940.4951,1920.1046,-236.8116,-226.9711,51.4205,134.7572,-17.5809,-48.1846,0.1673,0.1859,5.9272,6.0980,261.5180,263.1510
0.3800,-0.0004,-0.0004,163.6735,400.0907,216.8791,168.8677,1926.9014,1923.5031,-240.6622,-225.4737,53.1936,137.4169,-18.8832,-46.8823,0.1673,0.1859,5.9028,6.0980,261.5180,262.0447
